id,temperature,humidity,moisture,light,should_light
1,24.7,41.2,0.71,0.76,0
2,35.1,89.2,0.15,0.02,0
3,31.2,65.3,0.58,0.02,1
4,28.8,84.6,0.61,0.32,0
5,20.8,54.2,0.42,0.49,1
6,20.8,88.7,0.74,0.77,1
7,19.0,58.4,0.93,0.68,1
8,33.6,35.7,0.93,0.45,0
9,28.8,89.3,0.45,0.27,0
10,30.7,40.5,0.11,1.0,0
11,18.4,54.2,0.98,0.43,1
12,35.5,92.0,0.84,0.45,0
13,33.0,92.0,0.12,0.16,0
14,21.8,69.4,0.92,0.79,1
15,21.3,72.9,0.87,0.69,1
16,21.3,61.9,0.52,0.22,1
17,23.5,52.6,0.59,0.08,1
18,27.4,54.7,0.4,0.68,0
19,25.8,75.4,0.05,0.65,0
20,23.2,80.1,0.34,0.27,1
21,29.0,82.5,0.8,0.95,0
22,20.5,82.4,0.0,0.15,1
23,23.3,40.5,0.33,0.43,1
24,24.6,64.7,0.4,0.94,0
25,26.2,38.5,0.54,0.42,1
26,32.1,68.0,0.92,0.64,0
27,21.6,61.5,0.35,0.4,1
28,27.3,88.3,0.35,0.27,1
29,28.7,56.1,0.74,0.98,0
30,18.8,42.0,0.45,0.41,1
31,28.9,43.6,0.22,0.89,0
32,21.1,80.7,0.45,0.23,1
33,19.2,72.1,0.14,0.21,1
34,35.1,41.1,0.18,0.03,1
35,35.4,40.0,0.5,0.65,0
36,32.6,77.1,0.42,0.37,0
37,23.5,39.4,0.91,0.86,1
38,19.8,84.3,0.36,0.47,1
39,30.3,77.4,0.58,0.97,0
40,25.9,39.9,0.63,0.19,1
41,20.2,40.1,0.01,0.87,1
42,26.9,94.2,0.66,0.78,0
43,18.6,57.5,0.18,0.77,1
44,34.4,57.2,0.96,0.84,0
45,22.7,83.8,0.15,0.76,1
46,29.9,91.8,0.41,0.63,0
47,23.6,94.2,0.09,0.13,1
48,27.4,80.2,1.0,0.03,1
49,27.8,57.6,0.5,0.92,0
50,21.3,40.0,0.6,0.62,1
51,35.5,81.6,0.07,0.8,0
52,32.0,68.5,0.75,0.48,0
53,34.9,60.5,0.21,0.12,1
54,34.1,89.4,0.9,0.13,0
55,28.8,41.7,0.21,0.69,0
56,34.6,64.6,0.19,0.43,0
57,19.6,35.7,0.04,0.2,1
58,21.5,63.1,0.47,0.49,1
59,18.8,38.4,0.56,0.06,1
60,23.9,42.1,0.07,0.58,1
61,25.0,42.1,0.78,0.27,1
62,22.9,74.0,0.45,0.8,1
63,32.9,79.8,0.52,0.31,0
64,24.4,70.0,0.44,0.46,1
65,23.1,92.7,0.4,0.01,1
66,27.8,57.5,0.56,0.07,1
67,20.5,52.1,0.16,0.39,1
68,32.4,87.1,0.18,0.48,0
69,19.3,48.4,0.86,0.6,1
70,35.8,92.8,0.95,0.29,0
71,31.9,35.7,0.37,0.69,0
72,21.6,93.2,0.27,0.86,1
73,18.1,37.6,0.64,0.78,1
74,32.7,88.5,0.41,0.04,0
75,30.7,66.7,0.03,0.48,0
76,31.1,94.6,0.16,0.1,0
77,31.9,39.4,0.72,0.24,1
78,19.3,68.2,0.66,0.99,1
79,24.5,93.2,0.03,0.14,1
80,20.1,66.4,0.22,0.5,1
81,33.5,72.8,0.23,0.62,0
82,29.2,76.7,0.67,0.7,0
83,24.0,62.3,0.02,0.56,1
84,19.1,72.7,0.1,0.01,1
85,23.6,70.1,0.8,0.33,1
86,23.9,89.1,0.18,0.52,1
87,31.1,37.7,0.65,0.09,1
88,29.5,51.9,0.24,0.35,0
89,34.0,92.0,0.1,0.03,0
90,26.5,88.4,0.24,0.08,1
91,20.2,62.3,0.72,0.4,1
92,30.8,72.2,0.86,0.13,1
93,31.7,51.6,0.83,0.57,0
94,28.1,46.3,0.4,0.69,0
95,31.9,62.8,0.67,0.8,0
96,26.9,56.2,0.2,0.2,1
97,27.4,70.0,0.29,0.17,1
98,25.7,39.7,0.9,0.1,1
99,18.5,93.5,0.01,0.64,1
100,19.9,94.2,0.09,0.71,1
101,18.6,76.9,0.21,0.03,1
102,29.5,67.2,0.03,0.94,0
103,23.7,53.6,0.18,0.05,1
104,27.2,83.8,0.58,0.54,1
105,34.3,76.1,0.42,0.71,0
106,22.5,44.8,0.89,0.87,1
107,25.4,89.7,0.82,0.71,0
108,31.6,84.4,0.34,0.8,0
109,22.1,92.0,0.26,0.34,1
110,19.4,78.5,0.38,0.81,1
111,23.2,71.8,0.59,0.08,1
112,20.9,60.1,0.27,0.89,1
113,34.7,91.0,0.62,0.55,0
114,32.5,87.0,0.41,0.82,0
115,29.4,37.7,0.55,0.45,0
116,33.7,36.6,0.44,0.64,0
117,32.5,57.6,0.29,0.53,0
118,21.4,83.6,0.95,0.73,1
119,34.1,94.2,0.76,0.08,0
120,27.7,44.0,0.14,0.06,1
121,32.5,70.6,0.87,0.25,0
122,34.1,57.9,0.49,0.16,1
123,23.7,93.2,0.89,0.87,1
124,20.0,85.5,0.8,0.22,1
125,22.1,85.3,0.43,0.98,1
126,25.7,63.1,0.02,0.34,1
127,32.7,59.9,0.27,0.18,1
128,33.5,51.4,0.54,0.79,0
129,18.1,38.4,0.63,0.66,1
130,27.2,86.9,0.26,0.5,1
131,25.5,83.8,0.14,0.56,1
132,22.0,95.0,0.83,0.72,1
133,20.2,94.8,0.98,0.23,1
134,24.1,68.3,0.53,1.0,0
135,35.0,81.1,0.17,0.97,0
136,23.8,91.7,0.27,0.65,1
137,27.3,86.0,0.02,0.2,1
138,30.7,49.8,0.91,0.68,0
139,24.5,62.0,0.12,0.07,1
140,35.5,42.7,0.58,0.03,0
141,35.3,92.2,0.27,0.26,0
142,22.5,71.4,0.55,0.46,1
143,27.0,48.7,0.65,0.87,0
144,23.4,75.3,0.83,0.73,1
145,23.1,72.1,0.21,0.74,1
146,18.7,56.5,0.01,0.43,1
147,29.0,41.8,0.14,0.35,0
148,27.0,75.3,0.9,0.37,1
149,18.9,66.2,0.87,0.99,1
150,23.0,81.3,0.6,0.04,1
151,34.3,66.2,0.6,0.87,0
152,22.3,86.1,0.67,0.58,1
153,20.6,68.1,0.18,0.44,1
154,26.8,68.7,0.91,0.73,0
155,35.7,87.6,0.42,0.49,0
156,22.4,59.2,0.38,0.87,1
157,30.1,43.0,0.52,0.9,0
158,31.7,36.7,0.05,0.42,0
159,22.3,80.3,0.17,0.28,1
160,31.1,72.2,0.74,0.59,0
161,24.6,77.2,0.08,0.91,0
162,29.4,47.8,0.6,0.21,1
163,29.4,43.2,0.25,0.62,0
164,27.6,35.9,0.39,0.63,0
165,19.6,56.0,0.29,0.73,1
166,33.0,70.4,0.36,0.13,0
167,23.8,58.5,0.72,0.72,1
168,21.4,61.2,0.3,0.91,1
169,18.7,89.2,0.57,0.18,1
170,28.6,55.9,0.48,0.24,1
171,30.2,65.8,0.66,0.97,0
172,18.3,82.0,0.94,0.18,1
173,27.2,58.8,0.73,0.85,0
174,22.1,72.3,0.21,0.49,1
175,29.6,86.7,0.03,0.25,0
176,21.1,92.0,0.26,0.87,1
177,30.4,43.8,0.6,0.45,0
178,25.0,90.6,0.05,0.51,1
179,34.9,64.5,0.5,0.36,0
180,20.5,50.5,0.6,0.59,1
181,24.1,62.5,0.33,0.16,1
182,20.0,93.8,0.77,0.39,1
183,34.6,64.6,0.11,0.97,0
184,33.8,54.7,0.08,0.26,0
185,22.6,73.0,0.73,0.66,1
186,29.9,49.4,0.5,0.33,0
187,32.7,39.6,0.69,0.77,0
188,28.0,42.7,0.43,0.13,1
189,27.5,42.7,0.25,0.97,0
